               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  52,            0.019031,           0.0042423,           0.0028588,              0.9941,                   1,               0.995,             0.88383,            0.011724,           0.0020464,            0.001335,            0.008317,            0.008317,            0.008317
                  53,             0.01799,           0.0041979,           0.0028372,               0.984,             0.99866,               0.995,             0.86049,            0.012244,           0.0020788,           0.0019205,            0.008284,            0.008284,            0.008284
                  54,            0.017703,           0.0040608,           0.0030761,             0.99446,                   1,               0.995,              0.8808,            0.011749,           0.0020525,           0.0012661,            0.008251,            0.008251,            0.008251
                  55,            0.017567,           0.0041355,           0.0027754,             0.99572,                   1,               0.995,               0.891,            0.011486,           0.0020711,           0.0011865,            0.008218,            0.008218,            0.008218
                  56,             0.01767,           0.0041007,           0.0029157,              0.9938,                   1,               0.995,             0.88388,            0.012273,           0.0019983,            0.001353,            0.008185,            0.008185,            0.008185
                  57,            0.018719,            0.004361,           0.0027779,             0.99416,                   1,               0.995,             0.85359,            0.012818,           0.0020797,           0.0012291,            0.008152,            0.008152,            0.008152
                  58,            0.017189,           0.0040948,           0.0028018,             0.99362,             0.99652,               0.995,             0.88253,            0.010398,           0.0019299,           0.0025195,            0.008119,            0.008119,            0.008119
                  59,             0.01796,           0.0041257,           0.0024136,             0.99074,             0.99237,               0.995,             0.87479,            0.011161,           0.0019928,           0.0056216,            0.008086,            0.008086,            0.008086
                  60,            0.017485,           0.0040244,           0.0023585,             0.99395,                   1,               0.995,              0.8745,            0.011607,           0.0019453,           0.0011676,            0.008053,            0.008053,            0.008053
                  61,            0.017579,           0.0040571,           0.0025474,             0.99432,             0.99373,               0.995,             0.88027,            0.010659,           0.0020063,           0.0030916,             0.00802,             0.00802,             0.00802
                  62,            0.017116,           0.0041623,           0.0033535,             0.98777,                   1,               0.995,             0.88457,            0.010991,            0.002004,           0.0013247,            0.007987,            0.007987,            0.007987
                  63,            0.017349,           0.0040518,           0.0031023,             0.99418,             0.99382,               0.995,             0.88679,            0.011542,           0.0019393,            0.001533,            0.007954,            0.007954,            0.007954
                  64,            0.017729,           0.0040699,           0.0031958,              0.9674,             0.93409,              0.9521,             0.83669,            0.011978,           0.0020258,           0.0077237,            0.007921,            0.007921,            0.007921
                  65,            0.016199,           0.0040348,           0.0028716,             0.98929,             0.99283,               0.995,              0.9053,            0.010328,           0.0019346,           0.0019374,            0.007888,            0.007888,            0.007888
                  66,            0.017243,           0.0039238,           0.0024228,             0.96762,             0.96706,              0.9803,             0.86937,            0.011028,           0.0019563,           0.0049815,            0.007855,            0.007855,            0.007855
                  67,            0.016292,           0.0040382,           0.0025246,             0.99591,                   1,               0.995,             0.90338,            0.011363,           0.0019531,           0.0011005,            0.007822,            0.007822,            0.007822
                  68,            0.016837,           0.0039131,           0.0020276,             0.99494,                   1,               0.995,             0.89565,            0.010793,           0.0019459,           0.0011846,            0.007789,            0.007789,            0.007789
                  69,            0.015723,           0.0039758,           0.0021164,              0.9936,                   1,               0.995,             0.91531,           0.0098648,           0.0018377,           0.0011069,            0.007756,            0.007756,            0.007756
                  70,            0.017213,           0.0041294,           0.0021977,             0.99395,                   1,               0.995,             0.89919,            0.011545,           0.0020069,           0.0011793,            0.007723,            0.007723,            0.007723
                  71,            0.015956,           0.0038589,           0.0026536,             0.99612,                   1,               0.995,             0.88837,            0.010732,           0.0019432,           0.0010684,             0.00769,             0.00769,             0.00769
                  72,            0.016493,            0.003982,           0.0026098,             0.95839,             0.95694,             0.98136,             0.87539,            0.011816,           0.0020456,            0.005979,            0.007657,            0.007657,            0.007657
                  73,            0.016936,           0.0039406,           0.0025942,             0.98446,             0.99173,             0.98813,             0.89104,            0.010708,           0.0019438,           0.0095565,            0.007624,            0.007624,            0.007624
                  74,            0.016133,           0.0038949,           0.0022657,             0.99533,                   1,               0.995,              0.8786,            0.011098,           0.0020322,          0.00096951,            0.007591,            0.007591,            0.007591
                  75,            0.016321,           0.0038075,           0.0023599,             0.98463,              0.9929,               0.995,             0.88838,            0.010157,           0.0018586,           0.0023903,            0.007558,            0.007558,            0.007558
                  76,            0.016561,           0.0038944,           0.0022444,             0.99531,                   1,               0.995,             0.90573,             0.01026,           0.0018772,          0.00099724,            0.007525,            0.007525,            0.007525
                  77,            0.016399,           0.0040155,           0.0021473,             0.99517,                   1,               0.995,             0.90095,            0.010103,            0.001903,            0.001115,            0.007492,            0.007492,            0.007492
                  78,            0.016218,           0.0038754,           0.0021341,             0.99554,                   1,               0.995,             0.88736,            0.011202,           0.0019396,           0.0010024,            0.007459,            0.007459,            0.007459
                  79,            0.016198,           0.0038241,            0.002157,             0.99592,                   1,               0.995,              0.8902,            0.010045,           0.0018269,           0.0010703,            0.007426,            0.007426,            0.007426
                  80,            0.015529,           0.0036916,           0.0019587,             0.99308,              0.9899,               0.995,              0.9025,           0.0097009,           0.0018296,           0.0014863,            0.007393,            0.007393,            0.007393
                  81,            0.014966,           0.0037587,           0.0020936,             0.99427,                   1,               0.995,              0.9047,           0.0095378,           0.0018147,           0.0010272,             0.00736,             0.00736,             0.00736
                  82,            0.015151,           0.0037873,           0.0022993,             0.99444,                   1,               0.995,             0.90548,           0.0094869,           0.0018126,          0.00094745,            0.007327,            0.007327,            0.007327
                  83,            0.015561,           0.0037214,           0.0019586,             0.99542,                   1,               0.995,             0.91885,            0.009134,            0.001902,          0.00093127,            0.007294,            0.007294,            0.007294
                  84,            0.015324,           0.0037273,           0.0023757,              0.9959,                   1,               0.995,             0.91093,            0.010021,           0.0017902,           0.0009518,            0.007261,            0.007261,            0.007261
                  85,            0.015461,           0.0038614,           0.0018412,             0.99561,                   1,               0.995,             0.89672,            0.010283,           0.0018575,          0.00090303,            0.007228,            0.007228,            0.007228
                  86,            0.015057,            0.003744,           0.0021422,             0.99074,                   1,               0.995,             0.91508,            0.008776,           0.0017562,           0.0010358,            0.007195,            0.007195,            0.007195
                  87,            0.014552,              0.0038,           0.0018763,             0.99472,             0.99314,               0.995,             0.90572,           0.0093027,           0.0017329,           0.0011341,            0.007162,            0.007162,            0.007162
                  88,            0.015292,           0.0038398,            0.001939,             0.99546,                   1,               0.995,             0.91324,            0.009488,           0.0017514,          0.00090621,            0.007129,            0.007129,            0.007129
                  89,            0.015034,           0.0036998,           0.0018696,             0.99566,                   1,               0.995,             0.90862,           0.0092801,           0.0017115,          0.00088353,            0.007096,            0.007096,            0.007096
                  90,            0.015114,           0.0036505,            0.002233,             0.99495,                   1,               0.995,              0.8988,           0.0099438,            0.001795,           0.0008987,            0.007063,            0.007063,            0.007063
                  91,            0.015091,           0.0038335,           0.0019159,             0.99579,                   1,               0.995,             0.89025,           0.0096689,           0.0018152,          0.00086594,             0.00703,             0.00703,             0.00703
                  92,            0.014939,           0.0036488,           0.0016799,             0.99577,                   1,               0.995,             0.90118,           0.0096303,           0.0017517,          0.00087953,            0.006997,            0.006997,            0.006997
                  93,             0.01428,           0.0036416,           0.0020358,             0.99455,             0.99817,               0.995,             0.91628,           0.0092312,           0.0017985,          0.00098978,            0.006964,            0.006964,            0.006964
                  94,            0.014046,           0.0034335,           0.0019249,             0.99404,             0.98347,              0.9947,             0.91965,           0.0092673,              0.0017,           0.0021305,            0.006931,            0.006931,            0.006931
                  95,            0.014738,           0.0035653,           0.0018139,             0.99533,                   1,               0.995,             0.90602,           0.0089881,           0.0017695,          0.00093007,            0.006898,            0.006898,            0.006898
                  96,            0.014204,           0.0035285,           0.0020993,             0.99574,                   1,               0.995,             0.89827,            0.010631,           0.0018041,          0.00088626,            0.006865,            0.006865,            0.006865
                  97,            0.014294,           0.0037294,           0.0019516,             0.99565,                   1,               0.995,             0.91577,           0.0094056,           0.0017563,          0.00085534,            0.006832,            0.006832,            0.006832
                  98,            0.015096,           0.0035643,           0.0017449,             0.99613,                   1,               0.995,             0.89404,           0.0098876,           0.0017455,          0.00088593,            0.006799,            0.006799,            0.006799
                  99,            0.014858,           0.0035438,           0.0017405,             0.99488,                   1,               0.995,             0.91328,            0.009694,           0.0017654,          0.00090054,            0.006766,            0.006766,            0.006766
                 100,            0.014333,           0.0034887,           0.0018849,             0.99611,                   1,               0.995,             0.91182,           0.0090819,           0.0016859,          0.00089821,            0.006733,            0.006733,            0.006733
                 101,            0.014722,           0.0036849,           0.0018199,             0.99578,                   1,               0.995,             0.90938,           0.0087906,           0.0016512,          0.00080859,              0.0067,              0.0067,              0.0067
                 102,            0.013791,             0.00352,           0.0016277,             0.99172,             0.99057,               0.995,             0.91382,           0.0089225,           0.0017463,           0.0015245,            0.006667,            0.006667,            0.006667
                 103,            0.014021,           0.0034971,            0.001475,             0.99618,                   1,               0.995,             0.91472,           0.0084607,           0.0016805,          0.00085784,            0.006634,            0.006634,            0.006634
                 104,            0.013366,           0.0035068,           0.0018151,             0.99598,                   1,               0.995,             0.92223,           0.0089786,           0.0016099,           0.0008352,            0.006601,            0.006601,            0.006601
                 105,            0.014117,           0.0035273,           0.0018144,             0.99489,             0.99505,               0.995,             0.92055,           0.0088547,           0.0016679,           0.0010144,            0.006568,            0.006568,            0.006568
                 106,            0.013903,           0.0036118,           0.0018306,             0.99591,                   1,               0.995,             0.91856,           0.0085515,           0.0016174,           0.0007944,            0.006535,            0.006535,            0.006535
                 107,            0.014373,           0.0034698,           0.0016839,             0.99608,                   1,               0.995,             0.89715,           0.0097983,           0.0016504,          0.00091142,            0.006502,            0.006502,            0.006502
                 108,            0.013416,           0.0035284,           0.0019095,             0.98594,                   1,               0.995,             0.91719,           0.0095276,           0.0016973,           0.0011272,            0.006469,            0.006469,            0.006469
                 109,            0.014241,           0.0035197,           0.0018896,             0.99491,                   1,               0.995,             0.92766,           0.0091616,           0.0016978,          0.00093345,            0.006436,            0.006436,            0.006436
                 110,            0.013433,           0.0033974,           0.0018581,             0.99639,                   1,               0.995,             0.92175,           0.0093909,           0.0017219,          0.00077262,            0.006403,            0.006403,            0.006403
                 111,             0.01355,           0.0034485,           0.0018093,             0.99478,                   1,               0.995,             0.91437,           0.0086535,           0.0016384,          0.00078896,             0.00637,             0.00637,             0.00637
                 112,            0.013477,           0.0033594,           0.0015205,             0.99586,                   1,               0.995,             0.90861,           0.0095158,           0.0016083,          0.00077158,            0.006337,            0.006337,            0.006337
                 113,             0.01369,           0.0034565,            0.001869,             0.99583,                   1,               0.995,             0.92242,           0.0085606,            0.001576,          0.00081356,            0.006304,            0.006304,            0.006304
                 114,            0.013055,           0.0032563,           0.0015768,             0.99551,                   1,               0.995,             0.92689,           0.0089987,           0.0015996,          0.00074225,            0.006271,            0.006271,            0.006271
                 115,            0.013308,           0.0033205,           0.0015261,             0.99605,             0.99376,               0.995,             0.92837,            0.008928,           0.0016665,          0.00094457,            0.006238,            0.006238,            0.006238
                 116,            0.013055,           0.0034687,           0.0015859,             0.99444,                   1,               0.995,             0.93515,           0.0084098,           0.0015822,          0.00078459,            0.006205,            0.006205,            0.006205
                 117,            0.012675,           0.0034427,           0.0015895,             0.99593,                   1,               0.995,              0.9183,           0.0092336,           0.0016327,          0.00074433,            0.006172,            0.006172,            0.006172
                 118,            0.013124,           0.0035287,           0.0013775,             0.99632,                   1,               0.995,             0.91939,            0.008894,           0.0015836,          0.00073972,            0.006139,            0.006139,            0.006139
                 119,            0.013492,           0.0034733,           0.0013626,             0.99606,                   1,               0.995,             0.93156,           0.0089383,           0.0015995,          0.00073369,            0.006106,            0.006106,            0.006106
                 120,            0.012915,           0.0033542,           0.0012374,             0.99615,                   1,               0.995,             0.92443,           0.0084645,           0.0015551,          0.00065052,            0.006073,            0.006073,            0.006073
                 121,            0.012491,           0.0032802,           0.0013129,             0.99644,                   1,               0.995,             0.93978,           0.0083255,           0.0015468,          0.00065113,             0.00604,             0.00604,             0.00604
                 122,            0.012882,           0.0033793,           0.0014818,             0.99597,                   1,               0.995,              0.9262,           0.0087435,           0.0015899,          0.00075469,            0.006007,            0.006007,            0.006007
                 123,            0.013297,           0.0032921,           0.0012765,             0.99464,             0.99405,               0.995,             0.92493,           0.0085709,           0.0015999,          0.00095871,            0.005974,            0.005974,            0.005974
                 124,            0.012474,           0.0032728,           0.0015666,              0.9963,                   1,               0.995,             0.92931,           0.0086614,           0.0016029,          0.00072541,            0.005941,            0.005941,            0.005941
                 125,            0.013649,           0.0034993,           0.0018437,             0.99551,                   1,               0.995,             0.92819,           0.0082611,           0.0015963,          0.00074635,            0.005908,            0.005908,            0.005908
                 126,            0.012925,           0.0034673,           0.0014297,             0.99648,                   1,               0.995,             0.91796,           0.0086527,           0.0015806,          0.00075863,            0.005875,            0.005875,            0.005875
                 127,            0.013229,           0.0033115,           0.0013519,             0.99552,                   1,               0.995,             0.92815,           0.0083919,           0.0015597,          0.00070113,            0.005842,            0.005842,            0.005842
                 128,            0.012578,           0.0032465,           0.0013846,             0.99598,                   1,               0.995,             0.93741,           0.0083822,           0.0015135,          0.00075517,            0.005809,            0.005809,            0.005809
                 129,            0.012283,           0.0031968,            0.001397,             0.99645,                   1,               0.995,             0.93069,           0.0090823,           0.0015835,          0.00067715,            0.005776,            0.005776,            0.005776
                 130,            0.012439,           0.0033851,            0.001287,             0.99606,                   1,               0.995,             0.92194,           0.0079822,            0.001551,          0.00077793,            0.005743,            0.005743,            0.005743
                 131,            0.013082,           0.0032605,           0.0017814,             0.99429,                   1,               0.995,             0.92825,           0.0081197,           0.0016059,          0.00071023,             0.00571,             0.00571,             0.00571
                 132,            0.012291,           0.0031913,           0.0013286,             0.99581,                   1,               0.995,             0.92255,           0.0089672,           0.0015738,          0.00067899,            0.005677,            0.005677,            0.005677
                 133,             0.01256,           0.0031612,           0.0014012,             0.98715,             0.98946,               0.995,             0.92655,           0.0086199,           0.0015988,           0.0017286,            0.005644,            0.005644,            0.005644
                 134,            0.012216,           0.0032093,           0.0015485,             0.99618,                   1,               0.995,             0.92475,           0.0081985,           0.0015393,           0.0006258,            0.005611,            0.005611,            0.005611
                 135,            0.012573,           0.0033124,           0.0011846,             0.99595,                   1,               0.995,             0.92973,           0.0082835,           0.0015152,          0.00063772,            0.005578,            0.005578,            0.005578
                 136,            0.011954,              0.0032,           0.0011247,             0.99624,                   1,               0.995,             0.92628,           0.0083373,           0.0015017,          0.00065273,            0.005545,            0.005545,            0.005545
                 137,            0.012311,           0.0031693,           0.0010235,             0.99649,                   1,               0.995,             0.92369,           0.0090571,           0.0015804,          0.00064436,            0.005512,            0.005512,            0.005512
                 138,            0.012227,           0.0032087,           0.0014226,             0.99544,                   1,               0.995,             0.92195,           0.0084115,           0.0015285,          0.00065436,            0.005479,            0.005479,            0.005479
                 139,            0.012275,           0.0032392,           0.0014239,             0.99592,                   1,               0.995,             0.93372,           0.0084586,           0.0015562,          0.00069765,            0.005446,            0.005446,            0.005446
                 140,            0.012131,            0.003217,           0.0011999,             0.99628,                   1,               0.995,             0.92085,           0.0084488,           0.0015473,           0.0006357,            0.005413,            0.005413,            0.005413
                 141,            0.011713,           0.0033458,            0.001408,              0.9957,                   1,               0.995,             0.93244,           0.0083554,            0.001529,           0.0006142,             0.00538,             0.00538,             0.00538
                 142,            0.012128,           0.0032343,           0.0014672,              0.9956,                   1,               0.995,             0.93248,           0.0089741,           0.0015501,          0.00066857,            0.005347,            0.005347,            0.005347
                 143,            0.012147,           0.0031725,            0.001316,              0.9957,                   1,               0.995,             0.91884,           0.0085004,           0.0015449,          0.00062776,            0.005314,            0.005314,            0.005314
                 144,            0.012139,            0.003214,           0.0012946,             0.99563,                   1,               0.995,             0.93148,           0.0082936,           0.0014788,          0.00060678,            0.005281,            0.005281,            0.005281
                 145,            0.011933,           0.0031872,           0.0013896,              0.9959,                   1,               0.995,             0.92781,            0.008157,           0.0014473,          0.00058731,            0.005248,            0.005248,            0.005248
                 146,             0.01205,           0.0030141,           0.0012067,             0.99593,                   1,               0.995,             0.92897,           0.0081143,           0.0015523,          0.00057688,            0.005215,            0.005215,            0.005215
                 147,            0.011862,           0.0030912,           0.0011045,             0.99614,                   1,               0.995,             0.93468,           0.0085042,           0.0015185,          0.00060584,            0.005182,            0.005182,            0.005182
                 148,             0.01138,           0.0031351,          0.00097665,             0.99615,                   1,               0.995,               0.934,           0.0083281,            0.001514,          0.00059608,            0.005149,            0.005149,            0.005149
                 149,            0.011785,           0.0030349,           0.0010057,              0.9966,                   1,               0.995,             0.93468,           0.0085844,             0.00148,           0.0005847,            0.005116,            0.005116,            0.005116
                 150,            0.011694,           0.0031565,           0.0010979,             0.99604,                   1,               0.995,              0.9359,           0.0079046,           0.0014672,          0.00063982,            0.005083,            0.005083,            0.005083
                 151,            0.011557,           0.0031465,          0.00099604,             0.99645,                   1,               0.995,              0.9349,           0.0076383,           0.0014855,          0.00059071,             0.00505,             0.00505,             0.00505
                 152,            0.011995,            0.003107,           0.0011322,             0.99584,                   1,               0.995,             0.93266,           0.0079987,           0.0014584,          0.00058665,            0.005017,            0.005017,            0.005017
                 153,            0.011186,            0.003022,           0.0010313,             0.99616,                   1,               0.995,               0.937,           0.0080086,           0.0014585,          0.00062108,            0.004984,            0.004984,            0.004984
                 154,             0.01141,           0.0029679,           0.0012528,             0.99631,                   1,               0.995,             0.93389,           0.0078457,           0.0014332,          0.00061877,            0.004951,            0.004951,            0.004951
                 155,            0.011445,           0.0030263,           0.0011183,             0.99636,                   1,               0.995,             0.92839,           0.0076764,           0.0014197,          0.00057607,            0.004918,            0.004918,            0.004918
                 156,            0.011565,           0.0031092,           0.0011466,             0.99636,                   1,               0.995,             0.92423,           0.0076714,           0.0014003,          0.00054255,            0.004885,            0.004885,            0.004885
                 157,            0.011715,           0.0030407,           0.0010433,             0.99648,                   1,               0.995,             0.92614,           0.0078855,           0.0014096,          0.00055357,            0.004852,            0.004852,            0.004852
                 158,             0.01102,           0.0031255,           0.0010826,             0.98711,             0.98789,               0.995,             0.93201,           0.0071649,           0.0013752,           0.0016065,            0.004819,            0.004819,            0.004819
                 159,            0.011532,           0.0031828,           0.0015957,             0.98821,                   1,               0.995,             0.92308,           0.0083408,           0.0015006,          0.00091157,            0.004786,            0.004786,            0.004786
                 160,            0.011164,           0.0029527,           0.0013905,             0.99532,                   1,               0.995,             0.93711,           0.0076609,           0.0014137,          0.00060776,            0.004753,            0.004753,            0.004753
                 161,            0.011177,           0.0029177,           0.0011275,             0.99596,                   1,               0.995,             0.92141,           0.0082996,           0.0015031,          0.00057033,             0.00472,             0.00472,             0.00472
